GEOID,lon,lat
44007013101,-71.7336512995,41.893438796
44007013102,-71.6268318802,41.8934042838
44007018100,-71.5039655123,42.0140817544
44007018200,-71.4958408666,42.0109868607
44007016300,-71.4107442775,41.8656530502
44007013900,-71.4507705722,41.7592733125
44007010800,-71.3871992349,41.8863167695
44007002000,-71.4630189576,41.8308970773
44007018500,-71.4836897139,41.9958657653
44007001500,-71.4317177411,41.7934010037
44007000200,-71.4191492177,41.7944781293
44007014100,-71.4445650231,41.7970099984
44007017700,-71.5018455943,41.9881941926
44007015200,-71.3855811801,41.8793625053
44007016700,-71.3781412515,41.8722161591
44007016800,-71.3597169573,41.8750218494
44007003200,-71.3988945628,41.844056131
44007017800,-71.5077455866,41.9969508043
44007010400,-71.3790958279,41.8088117981
44007002500,-71.4268535825,41.829374321
44007014400,-71.4717416929,41.7527556458
44007012102,-71.4755859929,41.8469849707
44007014800,-71.4862912524,41.7865773686
44007012104,-71.4819865527,41.8639497934
44007017000,-71.3542156708,41.8639147341
44007015800,-71.3464840505,41.8830534934
44007011701,-71.4153989403,41.9084476274
44007011702,-71.4256161183,41.8918988324
44007012900,-71.6966227003,41.9611334879
44007003602,-71.4042376513,41.8287605449
44007003601,-71.396805497,41.8285574448
44007015600,-71.3593564786,41.8889325071
44007001900,-71.4450673039,41.8214125736
44007001000,-71.4348062837,41.8192561819
44007017400,-71.5304672432,42.002888441
44007000600,-71.4039995472,41.8087093151
44007002400,-71.4502661747,41.8431705309
44007013202,-71.6384975459,41.7933572957
44007013201,-71.579035963,41.7907208883
44007018000,-71.5114335323,42.0057900834
44007011301,-71.4130714919,41.9303542366
44007011302,-71.3906850355,41.9335715608
44007002102,-71.4498884075,41.8286621337
44007002101,-71.4486378851,41.8356207125
44007001400,-71.4345320897,41.806373698
44007003500,-71.3842993936,41.8297736115
44007002800,-71.4355704774,41.8541152846
44007012500,-71.503598762,41.7977799041
44007000300,-71.4246581593,41.8036177075
44007014000,-71.4449705036,41.7831099783
44007015300,-71.375912125,41.8901064904
44007014300,-71.4623266381,41.7727258748
44007017900,-71.5048769637,42.001814815
44007010702,-71.3469652903,41.7628029782
44007010701,-71.3403285384,41.773825927
44007012000,-71.4626634769,41.8522902161
44007001300,-71.4358478308,41.8128258374
44007012803,-71.5483632047,41.9633040228
44007016600,-71.3828948074,41.864729407
44007017100,-71.3700231528,41.8674331997
44007015900,-71.3593341043,41.8831588004
44007011402,-71.4239416192,41.9966246694
44007011403,-71.4612831735,41.9709121886
44007011401,-71.4113748156,41.9611863534
44007003100,-71.408409164,41.8371089661
44007012802,-71.5335317432,41.9846102109
44007012801,-71.5709037528,42.0049228172
44007000700,-71.4171179908,41.8137652512
44007002200,-71.4374472999,41.8300049215
44007013600,-71.4182751138,41.768757671
44007001700,-71.4584880572,41.8086593068
44007015700,-71.3468108076,41.8935205263
44007001800,-71.4613569547,41.8165021856
44007015400,-71.3718259772,41.8873234122
44007000800,-71.4136589594,41.8244022578
44007012701,-71.5637574279,41.9041530471
44007012702,-71.556022429,41.8688252148
44007003300,-71.4013655874,41.8511940349
44007011800,-71.4290133252,41.8689150837
44007013300,-71.735697827,41.7890963048
44007018300,-71.496211017,42.0065089767
44007017500,-71.5232507949,41.9905673943
44007014700,-71.4621115845,41.7933559755
44007011000,-71.3974320188,41.8913337826
44007016100,-71.3931435113,41.8732817057
44007002600,-71.4220733345,41.8368057937
44007010300,-71.3542832983,41.8198961759
44007000400,-71.4159996129,41.8058614361
44007003400,-71.3841447654,41.8447162716
44007012401,-71.4851185816,41.8266424117
44007012300,-71.5001046671,41.8514470747
44007013400,-71.3943818606,41.770916737
44007014200,-71.462011186,41.7421980063
44007018400,-71.474755014,42.0108782487
44007010600,-71.3596844585,41.7641494022
44007001200,-71.4259079197,41.8136355873
44007015000,-71.4138367894,41.875540043
44007016500,-71.3900159111,41.8608537259
44007012402,-71.4797824402,41.8118086607
44007011500,-71.4693483564,41.9524905762
44007013800,-71.4384669644,41.7665516795
44007002300,-71.4376983939,41.8375258024
44007013701,-71.4289825973,41.7787599723
44007013001,-71.7465157464,41.9728603416
44007013002,-71.6421540008,41.9693105329
44007010101,-71.3632470157,41.8479587069
44007010102,-71.3466599243,41.8442658529
44007015500,-71.3638848468,41.8923708156
44007012601,-71.526189545,41.912877592
44007000900,-71.4260529626,41.8237934901
44007012602,-71.4954903346,41.896167423
44007013702,-71.442672159,41.7754937429
44007011902,-71.4552839706,41.8691503357
44007011901,-71.447412532,41.8605897698
44007010900,-71.3882687289,41.8945166386
44007001600,-71.4474876141,41.8118395126
44007000101,-71.3886761359,41.7928241065
44007000102,-71.4123164945,41.783954321
44007017600,-71.5189532307,41.9964954397
44007014600,-71.5264097354,41.7575002256
44007011100,-71.4016510388,41.8866392176
44007016900,-71.3449037773,41.8701616231
44007016000,-71.3756368514,41.882992971
44007002700,-71.4260719424,41.8446953502
44007010200,-71.3712396759,41.8261077905
44007010501,-71.3506038153,41.8018247017
44007010502,-71.353221536,41.7875052342
44007012200,-71.5375871429,41.8283223231
44007013500,-71.3992897456,41.780601226
44007011600,-71.4573009827,41.9102800186
44007000500,-71.4100451537,41.7988188025
44007003700,-71.3949760142,41.8182824545
44007012103,-71.473016929,41.8624989508
44007002900,-71.4180647551,41.8512038652
44007001100,-71.4253826761,41.8195887169
44007015100,-71.3995092879,41.8776031543
44007016400,-71.3990260632,41.8633535536
44007014501,-71.503870395,41.7660636073
44007014502,-71.4796819564,41.7707173434
44007017300,-71.5211116826,42.0109326597
44007011200,-71.3909711497,41.9088299855
